10001,Avalon
10002,Bonavista—Burin—Trinity
10003,Coast of Bays—Central—Notre Dame
10004,Labrador
10005,Long Range Mountains
10006,St. John's East
10007,St. John's South—Mount Pearl
11001,Cardigan
11002,Charlottetown
11003,Egmont
11004,Malpeque
12001,Cape Breton—Canso
12002,Central Nova
12003,Cumberland—Colchester
12004,Dartmouth—Cole Harbour
12005,Halifax
12005,Halifax
12006,Halifax West
12007,Kings—Hants
12008,Sackville—Preston—Chezzetcook
12009,South Shore—St. Margarets
12010,Sydney—Victoria
12011,West Nova
13001,Acadie—Bathurst
13002,Beauséjour
13003,Fredericton
13004,Fundy Royal
13005,Madawaska—Restigouche
13006,Miramichi—Grand Lake
13007,Moncton—Riverview—Dieppe
13008,New Brunswick Southwest
13009,Saint John—Rothesay
13010,Tobique—Mactaquac
24001,Abitibi—Baie-James—Nunavik—Eeyou
24002,Abitibi—Témiscamingue
24003,Ahuntsic-Cartierville
24004,Alfred-Pellan
24005,Argenteuil—La Petite-Nation
24006,Avignon—La Mitis—Matane—Matapédia
24007,Beauce
24008,Beauport—Limoilou
24009,Bécancour—Nicolet—Saurel
24010,Bellechasse—Les Etchemins—Lévis
24011,Beloeil—Chambly
24012,Berthier—Maskinongé
24013,Thérèse-De Blainville
24014,Pierre-Boucher—Les Patriotes—Verchères
24015,Bourassa
24016,Brome—Missisquoi
24017,Brossard—Saint-Lambert
24018,Rimouski-Neigette—Témiscouata—Les Basques
24019,Charlesbourg—Haute-Saint-Charles
24020,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix
24021,Châteauguay—Lacolle
24022,Chicoutimi—Le Fjord
24023,Compton—Stanstead
24024,Dorval—Lachine—LaSalle
24025,Drummond
24026,Gaspésie—Les Îles-de-la-Madeleine
24027,Gatineau
24028,Hochelaga
24029,Honoré-Mercier
24030,Hull—Aylmer
24031,Joliette
24032,Jonquière
24033,La Pointe-de-l'Île
24034,La Prairie
24035,Lac-Saint-Jean
24036,Lac-Saint-Louis
24037,LaSalle—Émard—Verdun
24038,Laurentides—Labelle
24039,Laurier—Sainte-Marie
24040,Laval—Les Îles
24041,Longueuil—Charles-LeMoyne
24042,Lévis—Lotbinière
24043,Longueuil—Saint-Hubert
24044,Louis-Hébert
24045,Louis-Saint-Laurent
24046,Manicouagan
24046,Manicouagan
24046,Manicouagan
24047,Mégantic—L'Érable
24048,Mirabel
24049,Montarville
24050,Montcalm
24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup
24052,Mount Royal
24053,Notre-Dame-de-Grâce—Westmount
24054,Outremont
24055,Papineau
24056,Pierrefonds—Dollard
24057,Pontiac
24058,Portneuf—Jacques-Cartier
24059,Québec
24060,Repentigny
24061,Richmond—Arthabaska
24062,Rivière-des-Mille-Îles
24063,Rivière-du-Nord
24064,Rosemont—La Petite-Patrie
24065,Marc-Aurèle-Fortin
24066,Saint-Hyacinthe—Bagot
24067,Saint-Jean
24068,Saint-Laurent
24069,Saint-Léonard—Saint-Michel
24070,Saint-Maurice—Champlain
24071,Salaberry—Suroît
24072,Shefford
24073,Sherbrooke
24074,Vaudreuil—Soulanges
24075,Terrebonne
24076,Trois-Rivières
24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs
24078,Vimy
35001,Ajax
35002,Algoma—Manitoulin—Kapuskasing
35003,Aurora—Oak Ridges—Richmond Hill
35004,Barrie—Innisfil
35005,Barrie—Springwater—Oro-Medonte
35006,Bay of Quinte
35007,Beaches—East York
35008,Brampton Centre
35009,Brampton East
35010,Brampton North
35011,Brampton South
35012,Brampton West
35013,Brantford—Brant
35014,Bruce—Grey—Owen Sound
35015,Burlington
35016,Cambridge
35017,Chatham-Kent—Leamington
35018,Davenport
35019,Don Valley East
35020,Don Valley North
35021,Don Valley West
35022,Dufferin—Caledon
35023,Durham
35024,Eglinton—Lawrence
35025,Elgin—Middlesex—London
35026,Essex
35027,Etobicoke Centre
35028,Etobicoke—Lakeshore
35029,Etobicoke North
35030,Flamborough—Glanbrook
35031,Glengarry—Prescott—Russell
35032,Guelph
35033,Haldimand—Norfolk
35034,Haliburton—Kawartha Lakes—Brock
35035,Hamilton Centre
35036,Hamilton East—Stoney Creek
35037,Hamilton Mountain
35038,Hamilton West—Ancaster—Dundas
35039,Hastings—Lennox and Addington
35040,Huron—Bruce
35041,Kanata—Carleton
35042,Kenora
35043,King—Vaughan
35044,Kingston and the Islands
35045,Kitchener Centre
35046,Kitchener—Conestoga
35047,Kitchener South—Hespeler
35048,Lambton—Kent—Middlesex
35049,Lanark—Frontenac—Kingston
35050,Leeds—Grenville—Thousand Islands and Rideau Lakes
35051,London—Fanshawe
35052,London North Centre
35053,London West
35054,Markham—Stouffville
35055,Markham—Thornhill
35056,Markham—Unionville
35057,Milton
35058,Mississauga Centre
35059,Mississauga East—Cooksville
35060,Mississauga—Erin Mills
35061,Mississauga—Lakeshore
35062,Mississauga—Malton
35063,Mississauga—Streetsville
35064,Nepean
35065,Newmarket—Aurora
35066,Niagara Centre
35067,Niagara Falls
35068,Niagara West
35069,Nickel Belt
35070,Nipissing—Timiskaming
35071,Northumberland—Peterborough South
35072,Oakville
35073,Oakville North—Burlington
35074,Oshawa
35075,Ottawa Centre
35076,Orléans
35077,Ottawa South
35078,Ottawa—Vanier
35079,Ottawa West—Nepean
35080,Oxford
35081,Parkdale—High Park
35082,Parry Sound—Muskoka
35083,Perth—Wellington
35084,Peterborough—Kawartha
35085,Pickering—Uxbridge
35086,Renfrew—Nipissing—Pembroke
35087,Richmond Hill
35088,Carleton
35089,St. Catharines
35090,Toronto—St. Paul's
35091,Sarnia—Lambton
35092,Sault Ste. Marie
35093,Scarborough—Agincourt
35094,Scarborough Centre
35095,Scarborough—Guildwood
35096,Scarborough North
35097,Scarborough—Rouge Park
35098,Scarborough Southwest
35099,Simcoe—Grey
35100,Simcoe North
35101,Spadina—Fort York
35102,Stormont—Dundas—South Glengarry
35103,Sudbury
35104,Thornhill
35105,Thunder Bay—Rainy River
35106,Thunder Bay—Superior North
35107,Timmins—James Bay
35108,Toronto Centre
35109,Toronto—Danforth
35110,University—Rosedale
35111,Vaughan—Woodbridge
35112,Waterloo
35113,Wellington—Halton Hills
35114,Whitby
35115,Willowdale
35116,Windsor—Tecumseh
35117,Windsor West
35118,York Centre
